"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавление 2-х товаров в корзину, проверка счетчика","172","Добавляет два товара в корзину и проверяет, что счетчик товаров в корзине равен 2","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","addTwoProductsToCart"
"Сортировка по названию от Z до A","210","Проверяет сортировку товаров по названию от Z до A","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","checkFilterByNameZToA"
"Авторизация с некорректными значениями логина и пароля","567","Проверяет сообщение об ошибке при авторизации с некорректными данными","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Оформление заказа - позитивный сценарий","356","Проверяет, что при заполнении всех обязательных полей (имя, фамилия, код) осуществляется переход на страницу 'Checkout: Overview'","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Edge","tests.CheckoutTest","checkoutWithAllFields"
"Оформление заказа - негативный сценарий","282","Проверяет, что при частичном заполнении данных о покупателе отображается ошибка","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Оформление заказа - негативный сценарий","329","Проверяет, что при частичном заполнении данных о покупателе отображается ошибка","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Проверка элементов фильтра","136","Проверяет названия элементов фильтра","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","checkFilterItems"
"Авторизация с некорректными значениями логина и пароля","564","Проверяет сообщение об ошибке при авторизации с некорректными данными","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Добавление товара в корзину","93","Добавляет рюкзак в корзину и проверяет, что счетчик товаров в корзине равен 1","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","addProductToCart"
"Проверка количества отображаемых элементов","17","Проверяет количество отображаемых товаров на странице","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","checkCountProductsOnPage"
"Оформление заказа - негативный сценарий","268","Проверяет, что при частичном заполнении данных о покупателе отображается ошибка","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CheckoutTest","Edge","tests.CheckoutTest","negativeCheckout"
"Авторизация с корректными значениями логина и пароля","1996","Проверяет авторизацию с корректными значениями логина и пароля","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка товара в корзине","177","Добавляет Sauce Labs Backpack в корзину, переходит в корзину и проверяет количество товаров,название и цену","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CartTest","Chrome","tests.CartTest","checkProductInCart"
"Сортировка по названию от A до Z","205","Проверяет сортировку товаров по названию от A до Z","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","checkFilterByNameAToZ"
"Удаление товара из корзины","10265","Добавляет Bike Light в корзину, удаляет его и проверяет, что корзина пуста","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CartTest","Chrome","tests.CartTest","checkRemoveProductFromCart"
"Сортировка по возрастанию цены","203","Проверяет сортировку по возрастанию цены","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","checkFilterByPriceLowToHigh"
"Проверка кнопки 'Продолжить покупки'","244","Нажимает кнопку 'Continue shopping' в корзине и проверяет переход на страницу 'Products'","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CartTest","Chrome","tests.CartTest","checkContinueShoppingBtn"
"Оформление заказа","346","Добавляет товар в корзину, нажимает Checkout и проверяет переход на страницу 'Checkout: Your Information'","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.CartTest","Chrome","tests.CartTest","checkoutOrder"
"Авторизация с некорректными значениями логина и пароля","570","Проверяет сообщение об ошибке при авторизации с некорректными данными","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"Сортировка по убыванию цены","215","Проверяет сортировку по убыванию цены","Sauce Demo CrossBrowser","2026-05-29","passed","2026-05-29","tests.ProductsTest","Edge","tests.ProductsTest","checkFilterByPriceHighToLow"
